filter,method,param,seed,rmse_twin,sync_count,mean_aoi
fixed,proposed,3.0,3,0.33975275091888973,17,1.1
fixed,proposed,3.0,4,0.3367545659448761,14,1.0025
fixed,proposed,3.0,5,0.3588758214660227,22,1.5125
fixed,proposed,3.0,6,0.35402553603430975,18,1.1875
fixed,proposed,3.0,7,0.36915266641221617,18,1.14875
fixed,proposed,3.0,8,0.34476903829506267,19,1.1525
fixed,proposed,3.0,9,0.3763423667609622,19,1.18875
fixed,proposed,3.0,10,0.3560269628840729,14,1.235
fixed,proposed,3.0,11,0.3076231483422959,11,1.59
fixed,proposed,3.0,12,0.3797937281196865,25,1.145
fixed,proposed,3.0,13,0.392710064684834,20,1.36625
fixed,proposed,3.0,14,0.3697177580415583,21,1.17
fixed,proposed,5.0,0,0.3876091817269732,4,0.9975
fixed,proposed,5.0,1,0.41169894487487746,8,1.12375
fixed,proposed,5.0,2,0.398640313470951,5,1.30875
fixed,proposed,5.0,3,0.32450467741972344,3,1.1
fixed,proposed,5.0,4,0.3263493660223758,1,1.00375
fixed,proposed,5.0,5,0.34476304803066765,8,1.51375
fixed,proposed,5.0,6,0.3463802770623806,7,1.18875
fixed,proposed,5.0,7,0.3587194949328702,8,1.14875
fixed,proposed,5.0,8,0.3399426485189911,8,1.155
fixed,proposed,5.0,9,0.3658528807738155,8,1.18875
fixed,proposed,5.0,10,0.34283731833793435,4,1.235
fixed,proposed,5.0,11,0.29323285279142264,1,1.59
fixed,proposed,5.0,12,0.3675311092015097,8,1.145
fixed,proposed,5.0,13,0.38138878883822613,6,1.3675
fixed,proposed,5.0,14,0.36084309762645983,10,1.17
fixed,proposed,8.0,0,0.3798469955354409,1,0.9975
fixed,proposed,8.0,1,0.406733385112921,4,1.12375
fixed,proposed,8.0,2,0.3874181471280041,1,1.31
fixed,proposed,8.0,3,0.3183624552988065,1,1.1
fixed,proposed,8.0,4,0.3263493660223758,1,1.00375
fixed,proposed,8.0,5,0.3343029731485948,1,1.51375
fixed,proposed,8.0,6,0.3333051054369051,1,1.18875
