filter,method,param,seed,rmse_twin,sync_count,mean_aoi
good,proposed,3.0,9,0.11532542656288819,5,3.265
good,proposed,3.0,10,0.07324488260137164,1,3.52625
good,proposed,3.0,11,0.0703218038515967,1,3.01125
good,proposed,3.0,12,6.503465201598963,10,3.91
good,proposed,3.0,13,0.07027850981634849,1,3.7975
good,proposed,3.0,14,0.0764401854438563,1,3.39
good,proposed,5.0,0,0.4960374941811325,3,3.07625
good,proposed,5.0,1,0.1296815913419735,4,2.8375
good,proposed,5.0,2,0.0734890776129501,1,3.5025
good,proposed,5.0,3,0.07007356548115962,1,3.5125
good,proposed,5.0,4,0.06867701902426754,1,3.39625
good,proposed,5.0,5,0.07304784365580165,1,3.61625
good,proposed,5.0,6,0.07203185939039829,1,3.16875
good,proposed,5.0,7,0.09913223978927724,4,3.07125
good,proposed,5.0,8,0.07063987174100887,1,3.8925
good,proposed,5.0,9,0.11626348426763827,4,3.26375
good,proposed,5.0,10,0.07324488260137164,1,3.52625
good,proposed,5.0,11,0.0703218038515967,1,3.01125
good,proposed,5.0,12,6.504750869155928,9,3.8925
good,proposed,5.0,13,0.07027850981634849,1,3.7975
good,proposed,5.0,14,0.0764401854438563,1,3.39
good,proposed,8.0,0,0.49660457534024116,2,3.0775
good,proposed,8.0,1,0.1317380782952657,4,2.8375
good,proposed,8.0,2,0.0734890776129501,1,3.5025
good,proposed,8.0,3,0.07007356548115962,1,3.5125
good,proposed,8.0,4,0.06867701902426754,1,3.39625
good,proposed,8.0,5,0.07304784365580165,1,3.61625
good,proposed,8.0,6,0.07203185939039829,1,3.16875
good,proposed,8.0,7,0.10300667078278103,3,3.0725
good,proposed,8.0,8,0.07063987174100887,1,3.8925
good,proposed,8.0,9,0.11626348426763827,4,3.26375
good,proposed,8.0,10,0.07324488260137164,1,3.52625
good,proposed,8.0,11,0.0703218038515967,1,3.01125
good,proposed,8.0,12,6.504750869155928,9,3.8925
good,proposed,8.0,13,0.07027850981634849,1,3.7975
good,proposed,8.0,14,0.0764401854438563,1,3.39
good,periodic,2.0,0,0.49499558061291543,400,0.5
good,periodic,2.0,1,0.1740775830036473,400,0.5
good,periodic,2.0,2,0.06385959803438843,400,0.5
good,periodic,2.0,3,0.061850814818163166,400,0.5
good,periodic,2.0,4,0.06057818070455234,400,0.5
good,periodic,2.0,5,0.062456014156232746,400,0.5
good,periodic,2.0,6,0.06385984875254463,400,0.5
