t,scenario,controller,controller_label,ablation,seed,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_error_m,max_formation_deformation_m,spacing_violations,connectivity_rate,comm_health_rate,neighbor_count_mean,group_drift_m,sensor_residual_m,innovation_norm_m,nis,measurement_accept_rate,measurement_weight,bias_estimate_norm_m,diagnosed_fault,sensor_confidence,wind_confidence,comm_confidence,supervisor_mode,speed_scale,formation_scale,consensus_scale,control_effort,supervisor_compensation_norm,disturbance_estimate_norm,integral_norm,saturation_rate,measurement_dropout_count,ids_chi2_swarm,ids_anomaly_flag,ids_k_hat_raw,ids_k_hat,ids_ttd_s,ids_cusum_wind,ids_cusum_jamming,ids_cusum_spoofing,ids_cusum_replay,security_true_attack,debug_agent0_meas_err_m,debug_agent0_twin_err_m,debug_qcomm_min,debug_qcomm_mean,debug_target_k3,debug_agent0_broadcast_offset_m,debug_replay_clean_ts_10,debug_replay_attacked_ts_10,debug_replay_staleness_10_s,debug_replay_pos_delta_10_m,debug_mpc_mode,debug_delta_norm_0,debug_delta_norm_1,debug_delta_norm_2,debug_delta_norm_3,debug_omega_0,debug_omega_1,debug_omega_2,debug_omega_3
22.520833333333332,jamming_partial,generic,generic,full,14,0.2937204645152366,0.29504006223645907,0.2942526512475904,0.3001566663337308,0.003377297660565162,0.005307388387920442,0,1.0,0.475,3.0,0.2936976812984813,0.026156356545660862,0.05034806429955737,0.0035107960389045073,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.9851489515336722,0.0,0.36061542970533234,1.2570911685721389,0.0,0,0.920268546473557,1.0,2,2,0.14583333333333215,2.3991641461453046,70.69186808493994,0.0,0.0,2,0.02437688895903453,0.015421122535500499,0.5,0.5,-1,,22.520833333333332,,,,jamming_silent,0.20270109401358216,0.2397222351975465,0.13703132821543568,0.22366574477353487,0.25,0.25,0.25,0.25
22.541666666666668,jamming_partial,generic,generic,full,14,0.2936232841372168,0.2948521247903993,0.2943276836695144,0.29731804406475826,0.00340144376629773,0.005670711521893246,0,1.0,0.525,3.0,0.2935993488901319,0.01837628992308601,0.047626724260115716,0.0032079687119529973,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.0769382461746044,0.0,0.3591326548173172,1.2549278490250746,0.0,0,1.1893535544686817,1.0,1,2,0.14583333333333215,4.344137788557151,71.27130962661978,0.0,0.0,2,0.014802896344271737,0.008741877161059576,0.5,0.5,-1,,22.541666666666668,,,,jamming_silent,0.2364218468430102,0.14356664677944436,0.1828414844675103,0.146839639231284,0.25,0.25,0.25,0.25
22.5625,jamming_partial,generic,generic,full,14,0.293519966330219,0.29472189568933627,0.29426874186028723,0.2977460403415408,0.003431870769142023,0.006178616748803822,0,1.0,0.525,3.0,0.2934954564549572,0.025623608521750163,0.02562050155975807,0.0012220407895881487,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.1610128865553113,0.0,0.3534865621670456,1.2530252281531389,0.0,0,0.5028902606238066,1.0,2,2,0.14583333333333215,1.544137788557151,71.85075116829962,0.0,0.0,2,0.026582126675583143,0.02012574114767495,0.5,0.5,-1,0.026582126675583143,22.5625,22.5625,0.0,0.0,jamming_silent,0.22475754328681052,0.14317549143152303,0.18377977271514245,0.1516977917841591,0.25,0.25,0.25,0.25
22.583333333333332,jamming_partial,generic,generic,full,14,0.29347678049794834,0.2946957712187697,0.2932564669538573,0.2969177755656115,0.003412254534379605,0.006527706185452953,0,1.0,0.575,3.0,0.29345230007770673,0.017794960891238984,0.029490917737605545,0.0012692989889871386,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.6539591125773172,0.0,0.3599062380161792,1.2509336284920938,0.0,0,0.5270145328562634,1.0,2,2,0.14583333333333215,0.0,72.43019270997947,0.0,0.0,2,0.0043289996297660605,0.011077086126726945,0.5,0.5,-1,0.0043289996297660605,22.583333333333332,22.583333333333332,0.0,0.0,jamming_silent,0.24743596769837634,0.19803674262498,0.21024490483358269,0.12487962964561042,0.25,0.25,0.25,0.25
22.604166666666668,jamming_partial,generic,generic,full,14,0.29348752471561035,0.29478419967956193,0.29110981965202076,0.29556194410330855,0.003429497879157397,0.006986467265985397,0,1.0,0.5,3.0,0.2934624980187721,0.0341154915027059,0.05367548472886675,0.004045496762725333,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,3.3182460413927615,0.0,0.36162939894324503,1.2488205793944993,0.0,0,2.005314764558536,1.0,2,2,0.14583333333333215,0.0,73.0096342516593,0.0,0.0,2,0.04949753877281672,0.027953588681502852,0.5,0.5,-1,,22.604166666666668,,,,jamming_silent,0.22997009856068185,0.23371392019432904,0.2395693282550706,0.17770991458179236,0.25,0.25,0.25,0.25
22.625,jamming_partial,generic,generic,full,14,0.29340743895177473,0.2947736115702049,0.2936650134357772,0.29522721898106485,0.0034575715306966112,0.00755616954844518,0,1.0,0.5,3.0,0.2933816139634204,0.01119064757980067,0.03666358688014708,0.002432135126309096,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.6567604271864478,0.0,0.36693577998469534,1.2467100415967045,0.0,0,0.5568654001553088,1.0,2,2,0.14583333333333215,0.0,73.58907579333915,0.0,0.0,2,0.013839252955013238,0.008350206353502317,0.5,0.5,-1,,22.625,,,,jamming_silent,0.25439253215480223,0.2550982876436353,0.2255723705424066,0.22038869290986884,0.25,0.25,0.25,0.25
22.645833333333332,jamming_partial,generic,generic,full,14,0.2932641405117442,0.29467361833608213,0.29295226713479855,0.3009392077532378,0.0034814502084353264,0.008081229434351744,0,1.0,0.625,3.0,0.29323777033575,0.023028156367311634,0.02996752343316146,0.0014252996207202188,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.4825966944183038,0.0,0.3764338748757137,1.2445212760490338,0.0,0,0.7220643906552551,1.0,2,2,0.14583333333333215,0.0,74.16851733501899,0.0,0.0,2,0.02241835142680396,0.01231090327437827,0.5,0.5,-1,0.02241835142680396,22.645833333333332,22.645833333333332,0.0,0.0,jamming_silent,0.08828046144247075,0.14194218961045246,0.08401151661819925,0.18051202367339544,0.25,0.25,0.25,0.25
22.666666666666668,jamming_partial,generic,generic,full,14,0.2931778529429095,0.29452160738072974,0.2930321761354997,0.3020733279005283,0.003531589605849591,0.008397897267193866,0,1.0,0.575,3.0,0.29315091513200614,0.03400829687464649,0.03427198053211083,0.002472258662890882,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.7820990926667029,0.0,0.36730691655416725,1.242034583075072,0.0,0,1.1504590121394527,1.0,2,2,0.14583333333333215,0.0,74.74795887669883,0.0,0.0,2,0.024688507862105642,0.021254802494600294,0.5,0.5,-1,0.024688507862105642,22.666666666666668,22.666666666666668,0.0,0.0,jamming_silent,0.1080290530023112,0.0367321755161663,0.05130663281201896,0.09897449108975863,0.25,0.25,0.25,0.25
22.6875,jamming_partial,generic,generic,full,14,0.29318729130986976,0.2944345740347701,0.2920785389608307,0.29822195908762017,0.0035689956842895883,0.00850159522932259,0,1.0,0.575,3.0,0.2931597263343872,0.018669054271586345,0.05657882874611925,0.004516513048343232,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.113120257060247,0.0,0.36512996054729785,1.2399054332971209,0.0,0,1.5182278119218446,1.0,2,2,0.14583333333333215,0.7770577151671596,75.32740041837867,0.0,0.0,2,0.011660552603466878,0.014467376780440674,0.5,0.5,-1,0.011660552603466878,22.6875,22.6875,0.0,0.0,jamming_silent,0.05316609107297856,0.12357611199909632,0.13721084109748158,0.1029051786850215,0.25,0.25,0.25,0.25
22.708333333333332,jamming_partial,generic,generic,full,14,0.2932082523791468,0.2943374426897651,0.29316961131271263,0.3005284447791884,0.0036143366931642917,0.00858000978731921,0,1.0,0.575,3.0,0.29317975457419776,0.030005395931875505,0.027005373546413667,0.0010626633956796502,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.2493063818808476,0.0,0.36689683010112384,1.2377339370275413,0.0,0,0.7523449580340672,1.0,2,2,0.14583333333333215,0.0,75.90684196005851,0.0,0.0,2,0.05023245522309792,0.03688089508727319,0.5,0.5,-1,,22.708333333333332,,,,jamming_silent,0.1388488017888167,0.12918718883056274,0.19100184949415677,0.16388517018421775,0.25,0.25,0.25,0.25
