dataset,segment,association_median_error_m,fixed_rmse_m,adaptive_r_rmse_m,proposed_rmse_m,rmse_improvement_pct,fixed_nees,proposed_nees,fixed_cost,proposed_cost,cost_improvement_pct,fixed_dt_err_m,proposed_dt_err_m,output_dir
DeepSense S23,seq20,n/a,0.9595319570180516,0.8147545129428198,0.4152232511965421,56.72648022198905,405.9193536610903,19.534565235769566,21224.585392561647,2763.5683527326823,86.9794000607371,1.7532461731180784,1.5692729416716655,/Users/nitin/Desktop/failure/paper_sim/outputs_final_deepsense_seq20_20260610
DeepSense S23,seq32,n/a,0.8700044549378493,0.7889206544413908,0.5019260506127677,42.30764592479886,337.212717640343,19.349661170259616,19950.098536914276,3683.203415113265,81.53791868096229,1.1665466541061016,1.0397603445096726,/Users/nitin/Desktop/failure/paper_sim/outputs_final_deepsense_seq32_20260610
DeepSense S23,seq33,n/a,0.6352225142838828,0.6038684503824848,0.5641959216173695,11.181372049853264,182.4984440840316,11.989266969861596,18979.641764048854,7342.188672101191,61.31545176996581,0.5779028586142197,0.4922086487516313,/Users/nitin/Desktop/failure/paper_sim/outputs_final_deepsense_seq33_20260610
AERPAW/Dryad Fortem radar,Opt1,32.814581475254855,115.6682913609894,118.16617134408676,118.21859632912349,-2.204843642217238,156.21092485380072,47.2544080059949,274725742.7182211,286695947.09909976,-4.3571469722646805,69.94744364689237,70.70830129427331,/Users/nitin/Desktop/failure/paper_sim/outputs_final_aerpaw_v2_opt1_20260610
AERPAW/Dryad Fortem radar,Opt2,25.984650525236123,35.612574488615635,39.49471589537373,39.598877073980816,-11.193525440401654,27.822034599954417,7.813795586328305,29869712.67734885,37083906.2210492,-24.152202673081284,36.59379497058221,40.23915211985259,/Users/nitin/Desktop/failure/paper_sim/outputs_final_aerpaw_v2_opt2_20260610
AERPAW/Dryad Fortem radar,Opt3,30.68454248048848,48.69228650705935,46.46951737551767,46.46951737551767,4.564930692296463,25.993758286698597,5.036189233499518,42011370.1946036,38084136.86663888,9.348024855588214,41.96484586475531,40.62472270588468,/Users/nitin/Desktop/failure/paper_sim/outputs_final_aerpaw_v2_opt3_nooffset_20260610
