stress_mode,method,method_label,rmse_m_mean,rmse_m_std,fade_rmse_m_mean,outlier_rmse_m_mean,nominal_rmse_m_mean,mean_nees_mean,mean_pos_nees_mean,soft_reweight_rate_mean,hard_reject_rate_mean,gate_precision_mean,gate_recall_mean,gate_fpr_mean,lqg_cost_mean,lqg_cost_std,mean_dt_error_m_mean,count
coupled,adaptive_r,Quality-adaptive R,0.2801873625873507,0.0261556326955682,0.4738587117758323,0.6373885813376746,0.1377426172260211,63.83786420704829,47.938049473242486,0.0,0.0,,0.0,0.0,2241.2085714188765,404.8650464596086,0.3905843108749253,30
coupled,adaptive_r_gate,Adaptive R + NIS gate,0.0658520037188964,0.0068387420317944,0.0895392841394425,0.0977296047853732,0.0530303117539558,4.513574976636254,2.9524004036629674,0.04225,0.0720416666666666,0.6310933873790419,0.9982486772486772,0.0455363722803583,253.59435360316436,182.9278682673199,0.3273009125379271,30
coupled,fixed_kf,Fixed-R KF,0.3190527770907697,0.0286692123564587,0.5584853957527789,0.787095857164854,0.1400468523482851,172.76658490686688,130.28600675896976,0.0,0.0,,0.0,0.0,3434.1140763154845,582.224386031763,0.4016446558337,30
noise_only,adaptive_r,Quality-adaptive R,0.0606183434601579,0.0032121859680456,0.0824245463758157,,0.0511087932901477,4.351882307270543,2.868144195616749,0.0,0.0,,,0.0,180.92724867089197,31.52530610469569,0.3259533304316975,30
noise_only,adaptive_r_gate,Adaptive R + NIS gate,0.060917684755141,0.0032042682233093,0.0828037715811922,,0.0513761308739675,4.335292924607715,2.8714423028496996,0.0445416666666666,0.0,0.0,,0.0445416666666666,181.7857285631955,31.612041361192944,0.3261633229901767,30
noise_only,fixed_kf,Fixed-R KF,0.0619389937314449,0.0028054493334762,0.0863558320667995,,0.051052200858239,6.799738362096014,4.793458572389011,0.0,0.0,,,0.0,191.90690071160148,30.056204017596347,0.3254455949464118,30
outlier_only,adaptive_r,Quality-adaptive R,0.2870863912227485,0.025335171719079,0.447270116356522,0.5887328997390732,0.1703587370053819,74.7531933491838,56.08080750116544,0.0,0.0,,0.0,0.0,2514.7956027612813,530.6105660745355,0.3979885195491883,30
outlier_only,adaptive_r_gate,Adaptive R + NIS gate,0.3576390643127991,1.2288852449999768,0.2446567949101905,0.2966989141613571,0.378561386358574,8.666090527316316,5.340769635817796,0.0210833333333333,0.1047083333333333,0.7677415207239788,0.9927237197566664,0.0431697367820162,24094.17219229765,110097.93584102756,0.4699349283399341,30
outlier_only,fixed_kf,Fixed-R KF,0.320788574932683,0.0263095537431351,0.5254444439100793,0.7133424980831085,0.1721280866615067,173.60204841481897,130.76145790635644,0.0,0.0,,0.0,0.0,3581.910900919005,633.2218007708316,0.4072470832819589,30
near_threshold,adaptive_r,Quality-adaptive R,0.0688645618550234,0.0035469419305964,0.0907078375406816,0.0954452924624396,0.0568956952267007,5.557652238538116,3.7923660081819177,0.0,0.0,,0.0,0.0,212.40130832061396,22.950066720445665,0.3273109036792775,30
near_threshold,adaptive_r_gate,Adaptive R + NIS gate,0.0656926060485166,0.0036987287061574,0.089478283454605,0.0860061199221004,0.0536569489548598,4.708443282708644,3.176550481519074,0.092375,0.0086666666666666,0.5544457437335042,0.6396169462107205,0.0492613293292457,198.7727376319758,24.219057927986498,0.3273347666849149,30
near_threshold,fixed_kf,Fixed-R KF,0.0711687192848728,0.0033515556649113,0.0972351633217351,0.1039895562352773,0.0569115656035902,8.818507082021016,6.338662607255946,0.0,0.0,,0.0,0.0,232.39228620040012,20.828112673015077,0.3269430842845379,30
