seq,filter,method,rmse_twin,rmse_twin_std,mean_aoi,mean_aoi_std,sync_count,fuse_count,n_seeds
scenario23_seq20,good,event,50.386272494142965,7.639163238502646,109.38969465648854,17.074164949739227,10.0,0.0,30
scenario23_seq20,good,periodic,50.4144562196693,7.571173559487739,4.469465648854962,0.0,26.0,0.0,30
scenario23_seq20,good,proposed,49.88046607231068,7.256279883159742,7.485623409669212,0.4450156636296031,61.166666666666664,12.866666666666667,30
scenario23_seq20,good,unconditional,50.37779730906435,7.647451338589419,0.0,0.0,261.0,0.0,30
scenario23_seq32,good,event,101.8450650903802,11.029401326855789,135.30053248136315,13.76252071144677,7.9,0.0,30
scenario23_seq32,good,periodic,101.84606330366925,11.02944669866921,4.466453674121405,0.0,31.0,0.0,30
scenario23_seq32,good,proposed,101.1608720858429,10.927598624840163,6.70937167199148,0.24917653588206137,99.0,12.966666666666667,30
scenario23_seq32,good,unconditional,101.84444824440266,11.029330513265322,0.0,0.0,312.0,0.0,30
scenario23_seq33,good,event,4.102305894745054,5.848220721468499,19.366801619433197,14.139419872000522,34.666666666666664,0.0,30
scenario23_seq33,good,periodic,4.300851367576953,5.941547919623101,4.4757085020242915,0.0,49.0,0.0,30
scenario23_seq33,good,proposed,4.7164248463576275,6.214973682555682,5.6809041835357625,1.3243313715297187,182.03333333333333,39.7,30
scenario23_seq33,good,unconditional,4.071365878218662,5.849306973709902,0.0,0.0,493.0,0.0,30
