flight,median_assoc_error_m,proposed_rmse_m,periodic_rmse_m,rmse_gain_vs_periodic_pct,proposed_mean_aoi,periodic_mean_aoi,event_mean_aoi,proposed_full_syncs,periodic_full_syncs,sync_reduction_vs_periodic_pct,proposed_fuses
Opt1,32.814581475254855,118.39303303170011,120.74305340020726,1.946298608763783,1.598528638991067,4.4944823962165,0.0257488176563321,71.0,190.0,62.63157894736842,1033.0
Opt2,25.984650525236123,40.32588217911983,46.19851139596432,12.711728234077887,1.8754842280022137,4.494189263973436,0.0896513558384062,33.0,180.0,81.66666666666667,783.0
Opt3,30.68454248048848,46.83450833009813,52.516156038546335,10.818856780526605,1.4576687116564415,4.5,0.0257668711656441,68.0,162.0,58.0246913580247,825.0
