scenario,controller_label,fault_error_m,fault_error_ci95,recovery_time_s,rmse_m,stable_run_fraction,security_DR,security_FAR,security_AA,security_TTD_s,security_FCA_m
nominal,failure_aware,0.1622584505261578,9.973593266715876e-05,0.0,0.1632066127968028,1.0,0.0001388888888888,0.0002777777777777,,,0.005797142603084
nominal,generic,0.2839859146275234,0.0002239926694893,0.0,0.2820032647981472,1.0,0.0001388888888888,0.0002777777777777,,,0.0064797463982096
nominal,pid,0.2847266724506728,0.0002239394914829,0.0,0.2791294796176474,1.0,0.0001388888888888,0.0002777777777777,,,0.0064804603226154
wind,failure_aware,0.1505625804992217,0.0001120083398898,0.0,0.1596773140516223,1.0,0.0003472222222222,0.0002777777777777,0.0,,0.0058028745164055
wind,generic,0.3917925063446776,0.0002326278040515,11.355555555555556,0.32251178105716,1.0,0.0002777777777777,0.0002777777777777,0.0,,0.043754759032873
wind,pid,0.3961009441776423,0.0002382350043554,11.25138888888889,0.3193560780863064,1.0,0.0002777777777777,0.0002777777777777,0.0,,0.0064602663796768
sensor,failure_aware,1.2315086274842617,0.046142900823069,14.5625,0.687785808571266,1.0,1.0,0.0002777777777777,,0.1375000000000003,1.5269858950820931
sensor,generic,1.1158472129307042,0.0460754202685079,13.2125,0.6481558539127928,1.0,1.0,0.0002777777777777,,0.8041666666666667,1.3487576639779109
sensor,pid,1.1012502727541025,0.0433269305154752,12.988194444444444,0.6376065063868895,1.0,1.0,0.0002777777777777,,0.8041666666666667,1.3476702393258229
jamming_full,failure_aware,0.1725999898340262,0.0005890861853577,0.1513888888888889,0.1685236109650727,1.0,1.0,0.0002777777777777,1.0,0.0,0.0209337796990375
jamming_full,generic,0.2839856539362601,0.0002240173975897,0.0,0.282003146749185,1.0,1.0,0.0002777777777777,1.0,0.0,0.0064137081085458
jamming_full,pid,0.2847264167325515,0.0002239656971777,0.0,0.2791293611256735,1.0,1.0,0.0002777777777777,1.0,0.0,0.0064147371546457
jamming_partial,failure_aware,0.1726190934161107,0.0006037738004865,0.21875,0.1685194094373344,1.0,1.0,0.0002777777777777,0.9995783545446252,0.1437499999999988,0.0208751998847413
jamming_partial,generic,0.2839814858984581,0.0002221123037169,0.0,0.2820015860684577,1.0,1.0,0.0002777777777777,0.9995078823811296,0.1437499999999988,0.0065060690220212
jamming_partial,pid,0.2847223187329538,0.0002220828869529,0.0,0.2791277977947321,1.0,1.0,0.0002777777777777,0.9995078823811296,0.1437499999999988,0.0065065910210418
spoofing_strong,failure_aware,0.0868498438266959,0.0001916817197926,0.0,0.1529554325262701,1.0,1.0,0.0002777777777777,1.0,0.0076388888888884,0.0081230155620787
spoofing_strong,generic,0.2579364481357736,0.0002332619957608,0.0,0.2764224697797325,1.0,1.0,0.0002777777777777,1.0,0.0152777777777768,0.0383729989100758
spoofing_strong,pid,0.258745484825417,0.0002333781905321,0.0,0.2734909631365722,1.0,1.0,0.0002777777777777,1.0,0.0152777777777768,0.0383636689641468
spoofing_subtle,failure_aware,0.0873639059059594,0.0002085327059361,0.0,0.1530341799927223,1.0,1.0,0.0002777777777777,0.9996491228070176,0.1256944444444445,0.0083074615407028
spoofing_subtle,generic,0.2739019684317275,0.0002255522360712,0.0,0.279598787252423,1.0,0.9997916666666666,0.0002777777777777,0.999507433830843,0.1819444444444445,0.0153417766561903
spoofing_subtle,pid,0.2746658912272233,0.0002255535570785,0.0,0.276700122176251,1.0,0.9997916666666666,0.0002777777777777,0.999507433830843,0.1819444444444445,0.0153330689923218
replay,failure_aware,0.1742270103240623,0.0006186102321605,1.4930555555555556,0.1686931323818349,1.0,1.0,0.0002777777777777,0.9996488267081206,0.1631944444444455,0.0208151336107931
replay,generic,0.6736781191453424,0.0002482718356301,13.86111111111111,0.4363329609508957,1.0,1.0,0.0002777777777777,0.9996488267081206,0.1631944444444455,0.0262177883407234
replay,pid,0.6468177041784526,0.0002480080201903,11.681944444444444,0.4190687693906271,1.0,1.0,0.0002777777777777,0.9996488267081206,0.1631944444444455,0.0064646741449901
compound,failure_aware,0.1508699501725258,0.0005322176784809,0.0,0.1627623458180536,1.0,1.0,0.0002777777777777,1.0,0.0,0.0208950594796776
compound,generic,0.3916222810127332,0.0002337895915005,11.35625,0.3224704728323381,1.0,1.0,0.0002777777777777,1.0,0.0,0.0407267843008168
compound,pid,0.39610064950086,0.0002382247531345,11.25138888888889,0.31935595518273,1.0,1.0,0.0002777777777777,1.0,0.0,0.0063962098866573
