flight,seed,filter,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt2,0,fixed,proposed,36.03687953738404,1.2833425567238517,20.0,29869687.273011014,111.0,984.0,25.984650525236123,22.9163589,1807
Opt2,0,fixed,periodic,40.8334051898004,4.494189263973436,9.0,29869687.273011014,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,0,fixed,event,35.61264962910845,0.01383508577753182,2.0,29869687.273011014,1783.0,0.0,25.984650525236123,22.9163589,1807
Opt2,0,fixed,unconditional,35.61257036676543,0.0,0.0,29869687.273011014,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,1,fixed,proposed,36.02656747191045,1.2589928057553956,20.0,29869687.273011014,111.0,984.0,25.984650525236123,22.9163589,1807
Opt2,1,fixed,periodic,40.8334051898004,4.494189263973436,9.0,29869687.273011014,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,1,fixed,event,35.61264962910845,0.01383508577753182,2.0,29869687.273011014,1783.0,0.0,25.984650525236123,22.9163589,1807
Opt2,1,fixed,unconditional,35.61257036676543,0.0,0.0,29869687.273011014,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,2,fixed,proposed,36.022308492991066,1.293857221914776,20.0,29869687.273011014,114.0,975.0,25.984650525236123,22.9163589,1807
Opt2,2,fixed,periodic,40.8334051898004,4.494189263973436,9.0,29869687.273011014,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,2,fixed,event,35.61264962910845,0.01383508577753182,2.0,29869687.273011014,1783.0,0.0,25.984650525236123,22.9163589,1807
Opt2,2,fixed,unconditional,35.61257036676543,0.0,0.0,29869687.273011014,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,3,fixed,proposed,36.032122467266944,1.2977310459324847,20.0,29869687.273011014,109.0,985.0,25.984650525236123,22.9163589,1807
Opt2,3,fixed,periodic,40.8334051898004,4.494189263973436,9.0,29869687.273011014,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,3,fixed,event,35.61264962910845,0.01383508577753182,2.0,29869687.273011014,1783.0,0.0,25.984650525236123,22.9163589,1807
Opt2,3,fixed,unconditional,35.61257036676543,0.0,0.0,29869687.273011014,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,4,fixed,proposed,36.02900660630513,1.2695074709463199,20.0,29869687.273011014,111.0,987.0,25.984650525236123,22.9163589,1807
Opt2,4,fixed,periodic,40.8334051898004,4.494189263973436,9.0,29869687.273011014,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,4,fixed,event,35.61264962910845,0.01383508577753182,2.0,29869687.273011014,1783.0,0.0,25.984650525236123,22.9163589,1807
Opt2,4,fixed,unconditional,35.61257036676543,0.0,0.0,29869687.273011014,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,5,fixed,proposed,36.03797408751937,1.2412838959601549,20.0,29869687.273011014,110.0,984.0,25.984650525236123,22.9163589,1807
Opt2,5,fixed,periodic,40.8334051898004,4.494189263973436,9.0,29869687.273011014,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,5,fixed,event,35.61264962910845,0.01383508577753182,2.0,29869687.273011014,1783.0,0.0,25.984650525236123,22.9163589,1807
Opt2,5,fixed,unconditional,35.61257036676543,0.0,0.0,29869687.273011014,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,6,fixed,proposed,36.018454594442346,1.2772551189817376,20.0,29869687.273011014,111.0,985.0,25.984650525236123,22.9163589,1807
Opt2,6,fixed,periodic,40.8334051898004,4.494189263973436,9.0,29869687.273011014,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,6,fixed,event,35.61264962910845,0.01383508577753182,2.0,29869687.273011014,1783.0,0.0,25.984650525236123,22.9163589,1807
