flight,seed,filter,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt2,0,good,proposed,40.442826972269174,1.8588821250691754,20.0,37306301.557190746,31.0,786.0,25.984650525236123,22.9163589,1807
Opt2,0,good,periodic,46.349487239179616,4.494189263973436,9.0,37306301.557190746,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,0,good,event,39.7215801510506,0.09241837299391256,4.0,37306301.557190746,1662.0,0.0,25.984650525236123,22.9163589,1807
Opt2,0,good,unconditional,39.71942157519259,0.0,0.0,37306301.557190746,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,1,good,proposed,40.14709049908252,1.8035417819590482,20.0,36730518.21751385,32.0,789.0,25.984650525236123,22.9163589,1807
Opt2,1,good,periodic,45.98756641721271,4.494189263973436,9.0,36730518.21751385,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,1,good,event,39.408802873632084,0.09739900387382401,4.0,36730518.21751385,1659.0,0.0,25.984650525236123,22.9163589,1807
Opt2,1,good,unconditional,39.40648404593947,0.0,0.0,36730518.21751385,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,2,good,proposed,40.231237837865656,1.8489208633093526,20.0,36998279.26570578,33.0,786.0,25.984650525236123,22.9163589,1807
Opt2,2,good,periodic,46.09728482472393,4.494189263973436,9.0,36998279.26570578,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,2,good,event,39.55420115665655,0.08633093525179857,3.0,36998279.26570578,1668.0,0.0,25.984650525236123,22.9163589,1807
Opt2,2,good,unconditional,39.55176491879316,0.0,0.0,36998279.26570578,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,3,good,proposed,40.387635137063,1.790813503043719,20.0,37131048.21976478,32.0,793.0,25.984650525236123,22.9163589,1807
Opt2,3,good,periodic,46.2323630442898,4.494189263973436,9.0,37131048.21976478,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,3,good,event,39.62813648501271,0.09352517985611511,3.0,37131048.21976478,1659.0,0.0,25.984650525236123,22.9163589,1807
Opt2,3,good,unconditional,39.62525855114265,0.0,0.0,37131048.21976478,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,4,good,proposed,40.256797661395595,1.8046485888212507,20.0,36975110.720489636,30.0,795.0,25.984650525236123,22.9163589,1807
Opt2,4,good,periodic,46.12760333078189,4.494189263973436,9.0,36975110.720489636,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,4,good,event,39.5453359309744,0.09186496956281129,4.0,36975110.720489636,1663.0,0.0,25.984650525236123,22.9163589,1807
Opt2,4,good,unconditional,39.542970449145066,0.0,0.0,36975110.720489636,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,5,good,proposed,40.28771180417858,1.8544548976203652,20.0,36988759.57096192,31.0,795.0,25.984650525236123,22.9163589,1807
Opt2,5,good,periodic,46.05931652715864,4.494189263973436,9.0,36988759.57096192,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,5,good,event,39.553594572763565,0.09739900387382401,3.0,36988759.57096192,1650.0,0.0,25.984650525236123,22.9163589,1807
Opt2,5,good,unconditional,39.55058560726053,0.0,0.0,36988759.57096192,1806.0,0.0,25.984650525236123,22.9163589,1807
