flight,seed,filter,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt3,0,fixed,proposed,49.03079538802123,0.7374233128834355,20.0,42011370.1946036,349.0,848.0,30.68454248048848,21.79298305,1630
Opt3,0,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,0,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,0,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,1,fixed,proposed,49.036515335646534,0.7079754601226994,20.0,42011370.1946036,351.0,843.0,30.68454248048848,21.79298305,1630
Opt3,1,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,1,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,1,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,2,fixed,proposed,49.036108303033785,0.7392638036809815,20.0,42011370.1946036,350.0,842.0,30.68454248048848,21.79298305,1630
Opt3,2,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,2,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,2,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,3,fixed,proposed,49.07316551753972,0.749079754601227,20.0,42011370.1946036,349.0,847.0,30.68454248048848,21.79298305,1630
Opt3,3,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,3,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,3,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,4,fixed,proposed,49.054093416402544,0.7441717791411043,20.0,42011370.1946036,351.0,843.0,30.68454248048848,21.79298305,1630
Opt3,4,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,4,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,4,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,5,fixed,proposed,49.05914015990412,0.6920245398773006,20.0,42011370.1946036,350.0,850.0,30.68454248048848,21.79298305,1630
Opt3,5,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,5,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,5,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,6,fixed,proposed,49.050495915645676,0.7478527607361963,20.0,42011370.1946036,352.0,845.0,30.68454248048848,21.79298305,1630
Opt3,6,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,6,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,6,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,7,fixed,proposed,49.045050750343535,0.7177914110429447,20.0,42011370.1946036,352.0,845.0,30.68454248048848,21.79298305,1630
Opt3,7,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,7,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,7,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,8,fixed,proposed,49.039567177340665,0.7392638036809815,20.0,42011370.1946036,351.0,842.0,30.68454248048848,21.79298305,1630
Opt3,8,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,8,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,8,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,9,fixed,proposed,49.082134770580865,0.7294478527607362,20.0,42011370.1946036,351.0,848.0,30.68454248048848,21.79298305,1630
Opt3,9,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
