flight,seed,filter,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt1,0,good,proposed,118.38920607941982,1.5722543352601157,20.0,286817668.92328185,70.0,1034.0,32.814581475254855,21.93713,1903
Opt1,0,good,periodic,120.74057780729883,4.4944823962165,9.0,286817668.92328185,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,0,good,event,118.24398984420439,0.02469784550709406,2.0,286817668.92328185,1856.0,0.0,32.814581475254855,21.93713,1903
Opt1,0,good,unconditional,118.24393318636395,0.0,0.0,286817668.92328185,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,1,good,proposed,118.41335054022026,1.4624277456647399,20.0,286951752.08984417,68.0,1043.0,32.814581475254855,21.93713,1903
Opt1,1,good,periodic,120.81811712614464,4.4944823962165,9.0,286951752.08984417,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,1,good,event,118.27155266196034,0.02469784550709406,2.0,286951752.08984417,1856.0,0.0,32.814581475254855,21.93713,1903
Opt1,1,good,unconditional,118.27101425225281,0.0,0.0,286951752.08984417,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,2,good,proposed,118.30453410500418,1.6022070415134,20.0,286309826.8376957,66.0,1046.0,32.814581475254855,21.93713,1903
Opt1,2,good,periodic,120.69337734886649,4.4944823962165,9.0,286309826.8376957,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,2,good,event,118.13889107086261,0.023121387283236993,2.0,286309826.8376957,1859.0,0.0,32.814581475254855,21.93713,1903
Opt1,2,good,unconditional,118.13878600210704,0.0,0.0,286309826.8376957,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,3,good,proposed,118.50298289418835,1.557015239096164,20.0,286895181.44524515,71.0,1036.0,32.814581475254855,21.93713,1903
Opt1,3,good,periodic,120.76854368053421,4.4944823962165,9.0,286895181.44524515,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,3,good,event,118.25963488105803,0.02417235943247504,2.0,286895181.44524515,1857.0,0.0,32.814581475254855,21.93713,1903
Opt1,3,good,unconditional,118.2594418749014,0.0,0.0,286895181.44524515,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,4,good,proposed,118.27043367901484,1.578560168155544,20.0,286167264.95492893,71.0,1033.0,32.814581475254855,21.93713,1903
Opt1,4,good,periodic,120.66854237614655,4.4944823962165,9.0,286167264.95492893,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,4,good,event,118.10993213169674,0.023646873357856018,2.0,286167264.95492893,1858.0,0.0,32.814581475254855,21.93713,1903
Opt1,4,good,unconditional,118.10934062300291,0.0,0.0,286167264.95492893,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,5,good,proposed,118.37359487327863,1.5675249605885444,20.0,286698408.0902711,69.0,1044.0,32.814581475254855,21.93713,1903
Opt1,5,good,periodic,120.73465363534876,4.4944823962165,9.0,286698408.0902711,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,5,good,event,118.21975830779685,0.02627430373095113,1.0,286698408.0902711,1852.0,0.0,32.814581475254855,21.93713,1903
Opt1,5,good,unconditional,118.21897516781819,0.0,0.0,286698408.0902711,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,6,good,proposed,118.35732959188718,1.5706778770362586,20.0,286472564.1677295,73.0,1041.0,32.814581475254855,21.93713,1903
Opt1,6,good,periodic,120.69874222072244,4.4944823962165,9.0,286472564.1677295,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,6,good,event,118.17252630829661,0.025748817656332107,2.0,286472564.1677295,1855.0,0.0,32.814581475254855,21.93713,1903
Opt1,6,good,unconditional,118.17229704145313,0.0,0.0,286472564.1677295,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,7,good,proposed,118.37590716152019,1.5869679453494483,20.0,286728260.6104744,70.0,1046.0,32.814581475254855,21.93713,1903
Opt1,7,good,periodic,120.79127981593396,4.4944823962165,9.0,286728260.6104744,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,7,good,event,118.22454732893624,0.02417235943247504,2.0,286728260.6104744,1857.0,0.0,32.814581475254855,21.93713,1903
Opt1,7,good,unconditional,118.22495624950187,0.0,0.0,286728260.6104744,1902.0,0.0,32.814581475254855,21.93713,1903
