flight,k,t,method,action,twin_err,aoi,Ck,Dk,Dr,q,sinr_db,assoc_error_m
Opt2,0,0.0,proposed,SYNC,19.70321290744491,0,3.3392141296159785e-05,23.776991390809297,237.69054394581096,0.04,15.8660269,19.70321290744491
Opt2,0,0.0,periodic,SYNC,19.70321290744491,0,3.3392141296159785e-05,23.776991390809297,237.69054394581096,0.04,15.8660269,19.70321290744491
Opt2,0,0.0,event,SYNC,19.70321290744491,0,3.3392141296159785e-05,23.776991390809297,237.69054394581096,0.04,15.8660269,19.70321290744491
Opt2,0,0.0,unconditional,SYNC,19.70321290744491,0,3.3392141296159785e-05,23.776991390809297,237.69054394581096,0.04,15.8660269,19.70321290744491
Opt2,1,0.5125024318695068,proposed,FUSE,20.118012128873634,0,0.00014651692237925557,4.284890639537366,42.786217346515045,0.05854773538214727,19.7328682,38.68539301868624
Opt2,1,0.5125024318695068,periodic,HOLD,18.916478169738266,1,0.00014651692237925557,4.284890639537366,42.786217346515045,0.05854773538214727,19.7328682,38.68539301868624
Opt2,1,0.5125024318695068,event,SYNC,21.466621103127203,0,0.00014651692237925557,4.284890639537366,42.786217346515045,0.05854773538214727,19.7328682,38.68539301868624
Opt2,1,0.5125024318695068,unconditional,SYNC,21.466621103127203,0,0.00014651692237925557,4.284890639537366,42.786217346515045,0.05854773538214727,19.7328682,38.68539301868624
Opt2,2,4.356271743774414,proposed,HOLD,15.639508851599706,1,0.00012479345171979503,1.4247405476853185,14.22964780818578,0.04,16.1517563,40.92943633127275
Opt2,2,4.356271743774414,periodic,HOLD,13.74917471358681,2,0.00012479345171979503,1.877176003802599,18.748363308312577,0.04,16.1517563,40.92943633127275
Opt2,2,4.356271743774414,event,SYNC,14.470836562108232,0,0.00012479345171979503,3.133779886695724,31.29874008885555,0.04,16.1517563,40.92943633127275
Opt2,2,4.356271743774414,unconditional,SYNC,14.470836562108232,0,0.00012479345171979503,3.133779886695724,31.29874008885555,0.04,16.1517563,40.92943633127275
Opt2,3,5.125025510787964,proposed,FUSE,14.119694747405816,0,0.0001574168102046945,4.009484832129715,40.03183148910049,0.04,14.8251286,37.536108732179265
Opt2,3,5.125025510787964,periodic,HOLD,13.20975894258841,3,0.0001574168102046945,3.968315295998272,39.620783186911765,0.04,14.8251286,37.536108732179265
Opt2,3,5.125025510787964,event,SYNC,13.22715237860013,0,0.0001574168102046945,2.6473656602309736,26.43204811529487,0.04,14.8251286,37.536108732179265
Opt2,3,5.125025510787964,unconditional,SYNC,13.22715237860013,0,0.0001574168102046945,2.6473656602309736,26.43204811529487,0.04,14.8251286,37.536108732179265
Opt2,4,5.63752818107605,proposed,FUSE,15.211231155483016,0,0.00022873107018635437,2.640641482421242,26.346152986533387,0.04,17.6156788,43.786607389306695
Opt2,4,5.63752818107605,periodic,HOLD,12.994175773101334,4,0.00022873107018635437,5.041474024776315,50.299689230286305,0.04,17.6156788,43.786607389306695
Opt2,4,5.63752818107605,event,SYNC,16.341072049786373,0,0.00022873107018635437,3.030219329248187,30.233040934402734,0.04,17.6156788,43.786607389306695
Opt2,4,5.63752818107605,unconditional,SYNC,16.341072049786373,0,0.00022873107018635437,3.030219329248187,30.233040934402734,0.04,17.6156788,43.786607389306695
Opt2,5,6.150030612945557,proposed,FUSE,15.524952709399727,0,0.00029452389864565923,3.104207588387594,30.95091803341729,0.04,14.4673595,29.50397850184361
Opt2,5,6.150030612945557,periodic,HOLD,12.942289502527066,5,0.00029452389864565923,6.333443379362803,63.14844652698259,0.04,14.4673595,29.50397850184361
Opt2,5,6.150030612945557,event,SYNC,15.757256803789017,0,0.00029452389864565923,2.7560884595093245,27.479949576255393,0.04,14.4673595,29.50397850184361
Opt2,5,6.150030612945557,unconditional,SYNC,15.757256803789017,0,0.00029452389864565923,2.7560884595093245,27.479949576255393,0.04,14.4673595,29.50397850184361
Opt2,6,6.4062819480896,proposed,HOLD,15.760704723898357,1,0.0002960709986977737,1.5165977451995167,15.121207940630176,0.04,13.6624346,42.64648059744831
Opt2,6,6.4062819480896,periodic,HOLD,12.965607827223776,6,0.0002960709986977737,6.511007986148073,64.91787685514231,0.04,13.6624346,42.64648059744831
Opt2,6,6.4062819480896,event,SYNC,17.061695455435792,0,0.0002960709986977737,1.29952278758311,12.95686635222214,0.04,13.6624346,42.64648059744831
Opt2,6,6.4062819480896,unconditional,SYNC,17.061695455435792,0,0.0002960709986977737,1.29952278758311,12.95686635222214,0.04,13.6624346,42.64648059744831
Opt2,7,8.200041055679321,proposed,HOLD,17.934385136773933,2,0.00024884326763740074,1.7413307300137855,17.37008301796462,0.04,13.043438,59.71444712912219
Opt2,7,8.200041055679321,periodic,HOLD,14.066397226695232,7,0.00024884326763740074,6.794898027054782,67.78031352356092,0.04,13.043438,59.71444712912219
Opt2,7,8.200041055679321,event,SYNC,19.106091159478833,0,0.00024884326763740074,0.902745318047633,9.005044732910745,0.04,13.043438,59.71444712912219
Opt2,7,8.200041055679321,unconditional,SYNC,19.106091159478833,0,0.00024884326763740074,0.902745318047633,9.005044732910745,0.04,13.043438,59.71444712912219
Opt2,8,8.712543487548828,proposed,FUSE,19.338386055339292,0,0.0003015260748322294,2.8011056660060896,27.926849925655777,0.04,15.0849838,44.23025188333383
Opt2,8,8.712543487548828,periodic,HOLD,14.639803334784673,8,0.0003015260748322294,5.448145436859431,54.317672422997006,0.04,15.0849838,44.23025188333383
Opt2,8,8.712543487548828,event,SYNC,19.989235304179342,0,0.0003015260748322294,3.879328643904339,38.6766662055578,0.04,15.0849838,44.23025188333383
Opt2,8,8.712543487548828,unconditional,SYNC,19.989235304179342,0,0.0003015260748322294,3.879328643904339,38.6766662055578,0.04,15.0849838,44.23025188333383
Opt2,9,8.968794822692871,proposed,FUSE,17.449251850831736,0,0.0010289338629176027,5.034948995333153,49.83670323755853,0.08076297741146331,21.1298904,12.102392074552853
Opt2,9,8.968794822692871,periodic,HOLD,14.964789834140614,9,0.0010289338629176027,0.5184989730466889,5.1321829620633315,0.08076297741146331,21.1298904,12.102392074552853
Opt2,9,8.968794822692871,event,SYNC,15.187052929553133,0,0.0010289338629176027,5.30493200531758,52.509036792525634,0.08076297741146331,21.1298904,12.102392074552853
Opt2,9,8.968794822692871,unconditional,SYNC,15.187052929553133,0,0.0010289338629176027,5.30493200531758,52.509036792525634,0.08076297741146331,21.1298904,12.102392074552853
Opt2,10,9.225046157836914,proposed,FUSE,14.10423346760583,0,0.0009656311870715502,7.867651252457182,77.92405356115496,0.06020165232482045,19.8538513,39.5959159357432
Opt2,10,9.225046157836914,periodic,SYNC,10.596379525973003,0,0.0009656311870715502,5.922812912916588,58.66167371293562,0.06020165232482045,19.8538513,39.5959159357432
Opt2,10,9.225046157836914,event,SYNC,10.596379525973003,0,0.0009656311870715502,6.120660855098245,60.62123103809193,0.06020165232482045,19.8538513,39.5959159357432
Opt2,10,9.225046157836914,unconditional,SYNC,10.596379525973003,0,0.0009656311870715502,6.120660855098245,60.62123103809193,0.06020165232482045,19.8538513,39.5959159357432
Opt2,11,9.481297492980955,proposed,FUSE,11.841854425818045,0,0.0047911974491125706,5.286734171715401,50.45017425516757,0.14800647361064043,23.7605743,12.172560870292418
Opt2,11,9.481297492980955,periodic,HOLD,10.831732706678954,1,0.0047911974491125706,3.387853649661203,32.3295632851831,0.14800647361064043,23.7605743,12.172560870292418
Opt2,11,9.481297492980955,event,SYNC,9.36385189452662,0,0.0047911974491125706,3.387853649661203,32.3295632851831,0.14800647361064043,23.7605743,12.172560870292418
Opt2,11,9.481297492980955,unconditional,SYNC,9.36385189452662,0,0.0047911974491125706,3.387853649661203,32.3295632851831,0.14800647361064043,23.7605743,12.172560870292418
Opt2,12,9.993799924850464,proposed,FUSE,10.900500633636106,0,0.0026939861586667423,3.9507917419698817,38.471500520641335,0.07301058719066106,20.6916256,16.655575425014515
Opt2,12,9.993799924850464,periodic,HOLD,11.588696260092822,2,0.0026939861586667423,5.281186551008927,51.42644422088418,0.07301058719066106,20.6916256,16.655575425014515
Opt2,12,9.993799924850464,event,SYNC,9.542873315170466,0,0.0026939861586667423,1.781914164830241,17.35168953396263,0.07301058719066106,20.6916256,16.655575425014515
Opt2,12,9.993799924850464,unconditional,SYNC,9.542873315170466,0,0.0026939861586667423,1.781914164830241,17.35168953396263,0.07301058719066106,20.6916256,16.655575425014515
Opt2,13,10.250051259994509,proposed,FUSE,9.617618588241745,0,0.00272077856264881,3.7819756456244087,36.818019669874325,0.06820850508720411,20.3961525,12.706729021263286
Opt2,13,10.250051259994509,periodic,HOLD,11.85506101577594,3,0.00272077856264881,7.022161515702881,68.36164614367779,0.06820850508720411,20.3961525,12.706729021263286
Opt2,13,10.250051259994509,event,SYNC,8.458460835299498,0,0.00272077856264881,1.7341436950657376,16.882112064679234,0.06820850508720411,20.3961525,12.706729021263286
