t,scenario,controller,controller_label,ablation,seed,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_error_m,max_formation_deformation_m,spacing_violations,connectivity_rate,comm_health_rate,neighbor_count_mean,group_drift_m,sensor_residual_m,innovation_norm_m,nis,measurement_accept_rate,measurement_weight,bias_estimate_norm_m,diagnosed_fault,sensor_confidence,wind_confidence,comm_confidence,supervisor_mode,speed_scale,formation_scale,consensus_scale,control_effort,supervisor_compensation_norm,disturbance_estimate_norm,integral_norm,saturation_rate,measurement_dropout_count,ids_chi2_swarm,ids_anomaly_flag,ids_k_hat_raw,ids_k_hat,ids_ttd_s,ids_cusum_wind,ids_cusum_jamming,ids_cusum_spoofing,ids_cusum_replay,security_true_attack,debug_agent0_meas_err_m,debug_agent0_twin_err_m,debug_qcomm_min,debug_qcomm_mean,debug_target_k3,debug_agent0_broadcast_offset_m,debug_replay_clean_ts_10,debug_replay_attacked_ts_10,debug_replay_staleness_10_s,debug_replay_pos_delta_10_m,debug_mpc_mode,debug_delta_norm_0,debug_delta_norm_1,debug_delta_norm_2,debug_delta_norm_3,debug_omega_0,debug_omega_1,debug_omega_2,debug_omega_3
33.041666666666664,jamming_partial,pid,pid,full,22,0.2645666028717218,0.26931291957870634,0.2646223240692108,0.27042878816456245,0.005439105204872469,0.0105770713946296,0,1.0,1.0,3.0,0.26453295629034895,0.02111938693774276,0.029987239906864607,0.0013384755498300964,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.1101688773238014,0.0,0.3587836118551254,1.111110212600782,0.0,0,0.7847722906064547,0.0,2,2,0.14583333333333215,0.0,57.63194000632319,0.0,0.0,2,0.022221056856687085,0.010098734569095385,1.0,1.0,-1,0.022221056856687085,33.041666666666664,33.041666666666664,0.0,0.0,jamming_silent,0.16131745529825298,0.1594163838711883,0.15621335572497494,0.16147767353204937,0.25,0.25,0.25,0.25
33.0625,jamming_partial,pid,pid,full,22,0.2645482951074315,0.2693697148445861,0.26457039399506266,0.27336275193232706,0.005428304687235398,0.010753944477934319,0,1.0,1.0,3.0,0.26451504694948147,0.019264683394991253,0.04218999499478199,0.0024882531962390863,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.6743707775546137,0.0,0.35804497356645293,1.1125679911953839,0.0,0,0.8836492249684302,0.0,1,2,0.14583333333333215,0.0,56.13194000632319,0.0,0.0,2,0.026465767636036384,0.012827902190151367,1.0,1.0,-1,0.026465767636036384,33.0625,33.0625,0.0,0.0,jamming_silent,0.15901416861425177,0.15794485671017883,0.15784204167313123,0.16293347994037213,0.25,0.25,0.25,0.25
33.083333333333336,jamming_partial,pid,pid,full,22,0.2645291264976931,0.26940574637097153,0.26454097122025083,0.2717995629714058,0.00540812468869265,0.010884709115083657,0,1.0,1.0,3.0,0.26449647584362784,0.018109369283030426,0.02493976804120874,0.0009195751558123088,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.6320851346960041,0.0,0.35756471366185194,1.1138712700392808,0.0,0,0.3213373976028903,0.0,2,2,0.14583333333333215,0.0,54.63194000632319,0.0,0.0,2,0.017687951394142785,0.013525860112413142,1.0,1.0,-1,0.017687951394142785,33.083333333333336,33.083333333333336,0.0,0.0,jamming_silent,0.15981375657973973,0.15778903305344805,0.16078532953548944,0.1614617874693676,0.25,0.25,0.25,0.25
33.104166666666664,jamming_partial,pid,pid,full,22,0.26454083182226895,0.2693787509029611,0.26454316181187687,0.27400270791390374,0.00542330484222849,0.01106737006639924,0,1.0,1.0,3.0,0.2645080930712175,0.0192211150796029,0.02314902672142664,0.0017335866008204614,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.089702998028825,0.0,0.35726847735884926,1.115413621639933,0.0,0,0.859477644381699,0.0,2,2,0.14583333333333215,0.0,53.13194000632319,0.0,0.0,2,0.021927571626482893,0.01894945087095702,1.0,1.0,-1,0.021927571626482893,33.104166666666664,33.104166666666664,0.0,0.0,jamming_silent,0.15999725964529846,0.15873219113105794,0.15680100395774832,0.1601282070083458,0.25,0.25,0.25,0.25
33.125,jamming_partial,pid,pid,full,22,0.26454588844744464,0.2693635212163433,0.26455922117168973,0.2692911920684094,0.005459654369821867,0.011330317049997207,0,1.0,1.0,3.0,0.2645121924066474,0.02223699100358387,0.027874019913308866,0.0013018614715915298,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.176427785033424,0.0,0.3572214272984752,1.116843568520308,0.0,0,0.7343088111019533,0.0,2,2,0.14583333333333215,0.0,51.63194000632319,0.0,0.0,2,0.02030822094584825,0.008970006471503613,1.0,1.0,-1,0.02030822094584825,33.125,33.125,0.0,0.0,jamming_silent,0.16124801129818642,0.15952720031235282,0.15616036215060353,0.15681418802626396,0.25,0.25,0.25,0.25
33.145833333333336,jamming_partial,pid,pid,full,22,0.26451588855678243,0.2694229696742783,0.26459762836516965,0.2702562267326029,0.00552971128798048,0.01154432420766316,0,1.0,1.0,3.0,0.2644806807027984,0.022927404767514786,0.03125591190340131,0.0014319237712631396,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.442551514293764,0.0,0.35766163868993917,1.1182811246858162,0.0,0,0.6352190518408389,0.0,2,2,0.14583333333333215,0.0,50.13194000632319,0.0,0.0,2,0.018851783782843096,0.011902383961292097,1.0,1.0,-1,0.018851783782843096,33.145833333333336,33.145833333333336,0.0,0.0,jamming_silent,0.16004894787808163,0.15739758952969987,0.15683423911193628,0.157026517924887,0.25,0.25,0.25,0.25
33.166666666666664,jamming_partial,pid,pid,full,22,0.26444449819119714,0.2694747182238985,0.264530567547013,0.27273724534657046,0.005628061737138577,0.011589769691492835,0,1.0,1.0,3.0,0.2644082803744797,0.02288100389633866,0.03536424677740291,0.0023761816208706507,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.012221879804579,0.0,0.3582398571101864,1.1195384302693558,0.0,0,0.8766488380512962,0.0,2,2,0.14583333333333215,0.0,48.63194000632319,0.0,0.0,2,0.03596323961984415,0.026522352332289455,1.0,1.0,-1,0.03596323961984415,33.166666666666664,33.166666666666664,0.0,0.0,jamming_silent,0.1625643002535373,0.15569185565371288,0.15576977224392105,0.16143082095296213,0.25,0.25,0.25,0.25
33.1875,jamming_partial,pid,pid,full,22,0.26438435174220615,0.26944931930782157,0.2644119932022105,0.27359389040183724,0.005668646524564969,0.0113682203859502,0,1.0,1.0,3.0,0.2643482718107332,0.028812409547602533,0.03223207934769724,0.0016103904810723852,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.4242769969964235,0.0,0.35851846177456287,1.1209861408626947,0.0,0,0.8715172145310539,0.0,1,2,0.14583333333333215,0.0,47.13194000632319,0.0,0.0,2,0.03731287002106684,0.03347467587533134,1.0,1.0,-1,0.03731287002106684,33.1875,33.1875,0.0,0.0,jamming_silent,0.16287306997975945,0.1529910989855618,0.15280620112934776,0.16052315557591285,0.25,0.25,0.25,0.25
33.208333333333336,jamming_partial,pid,pid,full,22,0.26429650298451934,0.26926489956375005,0.2643218987248114,0.27090568309531665,0.005659926170262072,0.010939054559694128,0,1.0,1.0,3.0,0.2642604001034824,0.022679510863047935,0.03733167626340514,0.0022898747063772387,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.0412163993328352,0.0,0.3585369380126906,1.1223831648382196,0.0,0,0.6370002020599967,0.0,2,2,0.14583333333333215,0.0,45.63194000632319,0.0,0.0,2,0.03832240778582024,0.033878088322246036,1.0,1.0,-1,0.03832240778582024,33.208333333333336,33.208333333333336,0.0,0.0,jamming_silent,0.16566838138092566,0.15511107438828395,0.15295380381587545,0.16031298700601895,0.25,0.25,0.25,0.25
33.229166666666664,jamming_partial,pid,pid,full,22,0.26423338974237254,0.26907232209148113,0.26422368395708234,0.2723786417125905,0.005650695795843347,0.010470554546525124,0,1.0,1.0,3.0,0.26419638198174017,0.025255806466675544,0.02878929971515292,0.0012513259747207284,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.7863538165973305,0.0,0.3586406438159753,1.1236013804850147,0.0,0,0.719017644513044,0.0,2,2,0.14583333333333215,0.0,44.13194000632319,0.0,0.0,2,0.011471319319935178,0.019647222654331862,1.0,1.0,-1,0.011471319319935178,33.229166666666664,33.229166666666664,0.0,0.0,jamming_silent,0.16422191762510907,0.15723650626333224,0.1516026979465646,0.16270942209465597,0.25,0.25,0.25,0.25
