dataset,case,median_assoc_error_m,proposed_rmse_m,periodic_rmse_m,rmse_gain_vs_periodic_pct,proposed_mean_aoi,periodic_mean_aoi,event_mean_aoi,aoi_reduction_vs_event_pct,proposed_full_syncs,periodic_full_syncs,sync_reduction_vs_periodic_pct,proposed_fuses,note
DeepSense Scenario 23,scenario23_seq20,,58.145301891882895,58.852487212782535,1.2016235071642685,7.748091603053435,4.469465648854962,111.36768447837149,93.04278288684526,55.333333333333336,26.0,-112.82051282051282,12.333333333333334,real beam-power q_k and real GPS trajectory; z_k simulated from trajectory
DeepSense Scenario 23,scenario23_seq32,,101.77535695529588,102.48254802673873,0.690060000516709,6.710330138445154,4.466453674121405,134.36528221512248,95.00590477851136,98.33333333333331,31.0,-217.20430107526875,13.333333333333334,real beam-power q_k and real GPS trajectory; z_k simulated from trajectory
DeepSense Scenario 23,scenario23_seq33,,14.224471267234016,13.367951743693018,-6.407260737944409,6.925101214574899,4.4757085020242915,41.055330634278,83.13227269739004,128.66666666666666,49.0,-162.58503401360542,35.666666666666664,seq33 uses v3 cache; 125/494 beam-power reads interpolated after local file timeouts
AERPAW AADM/Fortem radar,Opt1,32.814581475254855,118.39303303170011,120.74305340020726,1.946298608763783,1.598528638991067,4.4944823962165,0.0257488176563321,-6108.163265306125,71.0,190.0,62.63157894736842,1033.0,real radar-associated position stream; q_k from radar SINR/confidence proxy
AERPAW AADM/Fortem radar,Opt2,25.984650525236123,40.32588217911983,46.19851139596432,12.711728234077889,1.8754842280022137,4.494189263973436,0.0896513558384062,-1991.9753086419753,33.0,180.0,81.66666666666667,783.0,real radar-associated position stream; q_k from radar SINR/confidence proxy
AERPAW AADM/Fortem radar,Opt3,30.68454248048848,46.83450833009813,52.516156038546335,10.818856780526604,1.4576687116564415,4.5,0.0257668711656441,-5557.142857142872,68.0,162.0,58.0246913580247,825.0,real radar-associated position stream; q_k from radar SINR/confidence proxy
