scenario,controller,fault_window_mean_tracking_error_m,fault_window_std_across_seeds_m,n_seeds,improvement_vs_pid_pct
wind,pid,0.3961753170307573,0.0006168522090287883,10,0.0
wind,generic,0.39188947259064466,0.0006587753981456041,10,1.0818050130518144
wind,failure_aware,0.15246453387765974,0.0002566250330568186,10,61.515892756685034
comm,pid,0.48613527974343923,0.010538618352533809,10,0.0
comm,generic,0.5143470284769984,0.01176112624355576,10,-5.80327121052562
comm,failure_aware,0.277496456055182,0.010463976823226542,10,42.917852783358505
sensor,pid,1.0977502850463672,0.11931907789560567,10,0.0
sensor,generic,1.1162566103620675,0.11790559809119289,10,-1.6858410849712158
sensor,failure_aware,1.088912471845111,0.11946501406077732,10,0.8050841180954738
