t,scenario,controller,controller_label,ablation,seed,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_error_m,max_formation_deformation_m,spacing_violations,connectivity_rate,comm_health_rate,neighbor_count_mean,group_drift_m,sensor_residual_m,innovation_norm_m,nis,measurement_accept_rate,measurement_weight,bias_estimate_norm_m,diagnosed_fault,sensor_confidence,wind_confidence,comm_confidence,supervisor_mode,speed_scale,formation_scale,consensus_scale,control_effort,supervisor_compensation_norm,disturbance_estimate_norm,integral_norm,saturation_rate,measurement_dropout_count,ids_chi2_swarm,ids_anomaly_flag,ids_k_hat_raw,ids_k_hat,ids_ttd_s,ids_cusum_wind,ids_cusum_jamming,ids_cusum_spoofing,ids_cusum_replay,security_true_attack,debug_agent0_meas_err_m,debug_agent0_twin_err_m,debug_qcomm_min,debug_qcomm_mean,debug_target_k3,debug_agent0_broadcast_offset_m,debug_replay_clean_ts_10,debug_replay_attacked_ts_10,debug_replay_staleness_10_s,debug_replay_pos_delta_10_m,debug_mpc_mode,debug_delta_norm_0,debug_delta_norm_1,debug_delta_norm_2,debug_delta_norm_3,debug_omega_0,debug_omega_1,debug_omega_2,debug_omega_3
37.458333333333336,compound,pid,pid,full,24,0.2207041821622878,0.22406317757953503,0.22075779122899417,0.22692732891245937,0.003178585490323414,0.005528931722061259,0,1.0,1.0,3.0,0.22069322187550316,0.02049252477841762,0.038898916959166155,0.0022062049894045668,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.234252352377591,0.0,0.3642438234447769,2.3144852066839494,0.0,0,0.8100218819904674,0.0,2,2,0.0,0.0,28583.002805203083,0.0,0.0,2,0.009721665697890352,0.010634718652928083,1.0,1.0,-1,0.009721665697890352,37.458333333333336,37.458333333333336,0.0,0.0,jamming_silent,0.16078339715253492,0.16061526712587212,0.161307246665779,0.1654661564408558,0.25,0.25,0.25,0.25
37.479166666666664,compound,pid,pid,full,24,0.22065467240301664,0.22404460139646998,0.22066806616386472,0.22565321518834336,0.0032710810783040632,0.0053317777662602595,0,1.0,1.0,3.0,0.22064300126236028,0.024026567719181813,0.03996927613777897,0.002461123648904548,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.5613804704460659,0.0,0.3636473871156008,2.31340666800529,0.0,0,1.060990944018514,0.0,2,2,0.0,0.0,28581.502805203083,0.0,0.0,2,0.010099999839051303,0.010719956544316168,1.0,1.0,-1,0.010099999839051303,37.479166666666664,37.479166666666664,0.0,0.0,jamming_silent,0.16184354007140672,0.16138904736619172,0.1660371673230704,0.1624599005204091,0.25,0.25,0.25,0.25
37.5,compound,pid,pid,full,24,0.22061337446912377,0.2240092497283611,0.220672270083385,0.22472771805040853,0.003374140810184918,0.005187068573992537,0,1.0,1.0,3.0,0.2206006265463028,0.027023859145434308,0.02924099201021836,0.0012396033818096504,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.185158138062245,0.0,0.363073801588811,2.312275434146586,0.0,0,0.9830002282598018,0.0,1,2,0.0,0.0,28580.002805203083,0.0,0.0,2,0.02793611907615138,0.019744226042979915,1.0,1.0,-1,0.02793611907615138,37.5,37.5,0.0,0.0,jamming_silent,0.1642445979411857,0.1603265476734275,0.16592672205779643,0.16071665814502623,0.25,0.25,0.25,0.25
37.520833333333336,compound,pid,pid,full,24,0.22058369072732095,0.22398476221867133,0.2205988276052225,0.23163401975654113,0.0034559590367644233,0.005557956130349373,0,1.0,1.0,3.0,0.22056967066568223,0.02568742019349291,0.047412641789600765,0.0031645958422715716,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.868785942497877,0.0,0.36247880323291115,2.3111771484210837,0.0,0,1.4407201096216389,0.0,1,2,0.0,0.0,28578.502805203083,0.0,0.0,2,0.022144265630905685,0.012388170994187514,1.0,1.0,-1,0.022144265630905685,37.520833333333336,37.520833333333336,0.0,0.0,jamming_silent,0.1626983731374237,0.15585278252300205,0.1651464035344551,0.15871432001601796,0.25,0.25,0.25,0.25
37.541666666666664,compound,pid,pid,full,24,0.22049776984338532,0.22381943452085917,0.22051795431543128,0.230546860025947,0.0034681083664187726,0.005692094806878378,0,1.0,1.0,3.0,0.22048285139351947,0.03197595232218551,0.04990058912149564,0.003712744096522996,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.092117383932608,0.0,0.3625490206265645,2.310238164080114,0.0,0,1.5904450715649041,0.0,1,2,0.0,0.0,28577.002805203083,0.0,0.0,2,0.03175335853513239,0.020993984683150366,1.0,1.0,-1,0.03175335853513239,37.541666666666664,37.541666666666664,0.0,0.0,jamming_silent,0.1644911647703911,0.15574681437217106,0.16010137083645282,0.16238838673495398,0.25,0.25,0.25,0.25
37.5625,compound,pid,pid,full,24,0.22041556766272297,0.22356531615827632,0.2204651439165433,0.22654898044556607,0.003403713206751338,0.005735522657855485,0,1.0,1.0,3.0,0.22040033017868685,0.030138435172536768,0.0446806084688956,0.0029305897717117326,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.2648943103847525,0.0,0.36323564001503617,2.309178941951554,0.0,0,1.2698869552293162,0.0,2,2,0.0,0.0,28575.502805203083,0.0,0.0,2,0.038979251452109204,0.015798880322599372,1.0,1.0,-1,0.038979251452109204,37.5625,37.5625,0.0,0.0,jamming_silent,0.15959866519143337,0.1590382591812134,0.15873014363604848,0.16653504146964598,0.25,0.25,0.25,0.25
37.583333333333336,compound,pid,pid,full,24,0.22039566283395115,0.223475955619376,0.2203974740505526,0.2235186805544774,0.003355937605105975,0.005840060243408551,0,1.0,1.0,3.0,0.2203807995945928,0.02786709395692131,0.0405774731940587,0.0037024466279679306,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.6148747925549456,0.0,0.36349051227746676,2.3081672351631903,0.0,0,1.3719744036151267,0.0,2,2,0.0,0.0,28574.002805203083,0.0,0.0,2,0.03277608079790864,0.02541528502259971,1.0,1.0,-1,0.03277608079790864,37.583333333333336,37.583333333333336,0.0,0.0,jamming_silent,0.15572513962125142,0.15746880618181314,0.15730209817683616,0.16193684506244033,0.25,0.25,0.25,0.25
37.604166666666664,compound,pid,pid,full,24,0.22034210868090892,0.22349807561012908,0.2204980719493741,0.2245202494575691,0.0033918623415296204,0.0059827169816943915,0,1.0,1.0,3.0,0.22032772753413765,0.03310414524065976,0.04897792376831073,0.0040427365004934825,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.203981961964468,0.0,0.36384386943930724,2.3069686234874163,0.0,0,1.457746538641545,0.0,1,2,0.0,0.0,28572.502805203083,0.0,0.0,2,0.017480308436353002,0.0028451609959636386,1.0,1.0,-1,0.017480308436353002,37.604166666666664,37.604166666666664,0.0,0.0,jamming_silent,0.15876073976752214,0.15737899572845082,0.15796908074584418,0.1616001633048296,0.25,0.25,0.25,0.25
37.625,compound,pid,pid,full,24,0.22024823856227033,0.22356245325378898,0.22029202052126562,0.22591751469691979,0.0034437344699279194,0.006008442514357837,0,1.0,1.0,3.0,0.22023421267096338,0.036552760988412925,0.05295982866404211,0.005336083668898596,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,2.35353669114546,0.0,0.3645346384735302,2.305948996607084,0.0,0,2.919467882145611,0.0,2,2,0.0,0.0,28571.002805203083,0.0,0.0,2,0.03168481775386719,0.01866024092834568,1.0,1.0,-1,0.03168481775386719,37.625,37.625,0.0,0.0,jamming_silent,0.15830270391381426,0.15939166350131534,0.1611836067902175,0.15446603143596818,0.25,0.25,0.25,0.25
37.645833333333336,compound,pid,pid,full,24,0.22016163449896564,0.22369841911903726,0.22026713477275903,0.23252586853610788,0.003575918555906026,0.0063336519810466285,0,1.0,1.0,3.0,0.22014649171606818,0.027065700372442505,0.05997590832488449,0.006183994765891949,1.0,0.55,0.0,wind,0.0,1.0,0.0,nominal,1.0,1.0,1.0,1.778131051972604,0.0,0.3646752866683779,2.304747125867969,0.0,0,2.197230113764857,0.0,1,2,0.0,0.0,28569.502805203083,0.0,0.0,2,0.010495727802799903,0.010035559302381251,1.0,1.0,-1,0.010495727802799903,37.645833333333336,37.645833333333336,0.0,0.0,jamming_silent,0.15983591830698587,0.15860534927421202,0.16262632601012783,0.1584222696327036,0.25,0.25,0.25,0.25
