controller_label,pre_fault_error_m,fault_error_m,post_fault_error_m,degradation_pct,post_degradation_pct,peak_error_spike_m,recovery_time_s,settling_time_s,rmse_m,max_formation_deformation_m,spacing_violation_count,time_above_safety_s,control_effort_total,mean_connectivity,mean_comm_health,stable_run_fraction,security_DR,security_FAR,security_AA,security_raw_AA,security_TTD_s,security_DisR,security_FCA_m,fault_error_std,fault_error_ci95,rmse_ci95
failure_aware,0.1584752320170182,1.2315086274842615,0.3543681067232471,677.0725376997885,123.62408265829764,2.0738956601120466,14.5625,1.6090277777777773,0.687785808571266,2.398895822812095,197.6,1.7854166666666667,164.4135921595253,1.0,1.0,1.0,1.0,0.00027777777777777333,,,0.13750000000000032,,1.5269858950820931,0.1289464675995848,0.04614290082306906,0.023214329991114734
generic,0.2786252572547282,1.1158472129307042,0.36240860209961556,300.4691867836071,30.070753733622116,1.9150799754731254,13.2125,2.1756944444444444,0.6481558539127928,1.9839137609034778,221.93333333333334,0.7548611111111111,152.0382027014025,1.0,1.0,1.0,1.0,0.00027777777777777333,,,0.8041666666666667,,1.3487576639779109,0.12875789299792115,0.04607542026850795,0.02246952396730842
pid,0.2772754575113509,1.1012502727541025,0.34885587101105364,297.1558169475568,25.816614026546937,1.834515558269813,12.988194444444444,2.236805555555556,0.6376065063868895,2.0801397418502443,227.66666666666666,0.6284722222222221,151.81215070809964,1.0,1.0,1.0,1.0,0.00027777777777777333,,,0.8041666666666667,,1.3476702393258229,0.1210772305652281,0.0433269305154752,0.021224714777318535
