dataset,filter,cases,n_seeds,mean_rmse_gain_vs_periodic_pct,mean_aoi_reduction_vs_event_pct,mean_sync_reduction_vs_periodic_pct,mean_rmse_gap_vs_unconditional_pct,mean_proposed_syncs,mean_periodic_syncs,mean_proposed_fuses
AERPAW/Fortem radar,fixed,3,30,11.66129871758371,-22896.662962963183,-64.77431232401993,0.6586430697506306,290.74444444444447,177.33333333333334,937.9444444444445
AERPAW/Fortem radar,good,3,30,8.510318956138898,-4610.929530417984,67.41773157172769,0.9208076608648316,57.333333333333336,177.33333333333334,883.7777777777777
DeepSense Scenario 23,fixed,3,30,49.41382684370003,88.712303900905,-70.57114160800796,9.56861859760515,53.55555555555555,35.333333333333336,236.62222222222223
DeepSense Scenario 23,good,3,30,1.7517028360145896,89.45235178777664,62.11376692943514,0.05425932597608401,13.266666666666666,35.333333333333336,62.666666666666664
Synthetic Option B,fixed,1,30,29.385920936152328,76.93184598948355,32.458333333333336,6.508076381703262,54.03333333333333,80.0,382.1
Synthetic Option B,good,1,30,5.849993533165778,79.3294566980962,93.83333333333333,2.012487142705813,4.933333333333334,80.0,157.26666666666668
