flight,seed,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt1,16,periodic,120.69572248245127,4.4944823962165,9.0,286451141.7908401,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,16,event,118.1683151045755,0.025223331581713086,2.0,286451141.7908401,1855.0,0.0,32.814581475254855,21.93713,1903
Opt1,16,unconditional,118.16811076624033,0.0,0.0,286451141.7908401,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,17,proposed,118.25786582662833,1.6085128744088282,20.0,286394261.3202625,71.0,1029.0,32.814581475254855,21.93713,1903
Opt1,17,periodic,120.68286898690823,4.4944823962165,9.0,286394261.3202625,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,17,event,118.15649618726523,0.025223331581713086,2.0,286394261.3202625,1855.0,0.0,32.814581475254855,21.93713,1903
Opt1,17,unconditional,118.15623792325819,0.0,0.0,286394261.3202625,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,18,proposed,118.32753720402224,1.604308985811876,20.0,286703188.77725184,69.0,1039.0,32.814581475254855,21.93713,1903
Opt1,18,periodic,120.73728043011184,4.4944823962165,9.0,286703188.77725184,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,18,event,118.22031208585172,0.025223331581713086,2.0,286703188.77725184,1855.0,0.0,32.814581475254855,21.93713,1903
Opt1,18,unconditional,118.21995673234771,0.0,0.0,286703188.77725184,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,19,proposed,118.26094268726473,1.5638465580662113,20.0,286229143.3239775,71.0,1033.0,32.814581475254855,21.93713,1903
Opt1,19,periodic,120.68496893864584,4.4944823962165,9.0,286229143.3239775,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,19,event,118.12312574428759,0.02627430373095113,2.0,286229143.3239775,1853.0,0.0,32.814581475254855,21.93713,1903
Opt1,19,unconditional,118.1221217567403,0.0,0.0,286229143.3239775,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,20,proposed,118.32058354600906,1.6100893326326853,20.0,286250883.48588073,72.0,1036.0,32.814581475254855,21.93713,1903
Opt1,20,periodic,120.66351666249261,4.4944823962165,9.0,286250883.48588073,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,20,event,118.12690542698611,0.025748817656332107,2.0,286250883.48588073,1854.0,0.0,32.814581475254855,21.93713,1903
Opt1,20,unconditional,118.12669184857172,0.0,0.0,286250883.48588073,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,21,proposed,118.28602790981599,1.5491329479768785,20.0,286461850.0056005,74.0,1033.0,32.814581475254855,21.93713,1903
Opt1,21,periodic,120.70080914765877,4.4944823962165,9.0,286461850.0056005,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,21,event,118.17049676471485,0.025223331581713086,1.0,286461850.0056005,1854.0,0.0,32.814581475254855,21.93713,1903
Opt1,21,unconditional,118.17035958579675,0.0,0.0,286461850.0056005,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,22,proposed,118.32334905007434,1.6316342616920652,20.0,286388063.9838595,72.0,1025.0,32.814581475254855,21.93713,1903
Opt1,22,periodic,120.69614447979593,4.4944823962165,9.0,286388063.9838595,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,22,event,118.15573622822873,0.026799789805570153,2.0,286388063.9838595,1852.0,0.0,32.814581475254855,21.93713,1903
Opt1,22,unconditional,118.1550740517241,0.0,0.0,286388063.9838595,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,23,proposed,118.36395454581883,1.6158696794534946,20.0,286517082.36922276,75.0,1030.0,32.814581475254855,21.93713,1903
Opt1,23,periodic,120.74833432074185,4.4944823962165,9.0,286517082.36922276,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,23,event,118.18184464191073,0.02417235943247504,2.0,286517082.36922276,1857.0,0.0,32.814581475254855,21.93713,1903
