controller_label,fault_error_m,fault_error_ci95,recovery_time_s,rmse_m,stable_run_fraction,security_DR,security_FAR,security_AA,security_TTD_s,security_FCA_m
failure_aware,0.08677445723677332,0.00010922250453578971,0.0,0.16927778732754664,1.0,1.0,0.00027777777777777333,1.0,0.007638888888888437,0.005802496177752846
generic,0.2579364481357736,0.00023326199576087527,0.0,0.2764224697797325,1.0,1.0,0.00027777777777777333,1.0,0.015277777777776873,0.03837299891007583
pid,0.258745484825417,0.00023337819053218453,0.0,0.27349096313657223,1.0,1.0,0.00027777777777777333,1.0,0.015277777777776873,0.03836366896414687
