dataset,case,n_seeds,median_assoc_error_m,proposed_rmse_m,periodic_rmse_m,rmse_gain_vs_periodic_pct,proposed_mean_aoi,periodic_mean_aoi,event_mean_aoi,aoi_reduction_vs_event_pct,proposed_full_syncs,periodic_full_syncs,sync_reduction_vs_periodic_pct,proposed_fuses,note,primary_benefit_metric,primary_benefit_pct,paper_interpretation
DeepSense Scenario 23,scenario23_seq20,30,,49.88046607231068,50.4144562196693,1.059200450426118,7.485623409669212,4.469465648854962,109.38969465648854,93.15692082953886,61.166666666666664,26.0,-135.25641025641025,12.866666666666667,real beam-power q_k and real GPS trajectory; z_k simulated from trajectory,AoI reduction vs event-triggered (%),93.15692082953886,Freshness gain from real mmWave q_k with near-neutral/slightly better RMSE
DeepSense Scenario 23,scenario23_seq32,30,,101.1608720858429,101.84606330366925,0.6727714313152758,6.70937167199148,4.466453674121405,135.30053248136315,95.04113431858397,99.0,31.0,-219.3548387096774,12.966666666666667,real beam-power q_k and real GPS trajectory; z_k simulated from trajectory,AoI reduction vs event-triggered (%),95.04113431858397,Freshness gain from real mmWave q_k with near-neutral/slightly better RMSE
DeepSense Scenario 23,scenario23_seq33,30,,4.7164248463576275,4.300851367576953,-9.662586387280896,5.6809041835357625,4.4757085020242915,19.366801619433197,70.6667920952142,182.03333333333333,49.0,-271.4965986394558,39.7,seq33 uses v3 cache; 125/494 beam-power reads interpolated after local file timeouts,AoI reduction vs event-triggered (%),70.6667920952142,Freshness gain from real mmWave q_k; seq33 is a boundary case for RMSE
AERPAW AADM/Fortem radar,Opt1,30,32.814581475254855,118.34445338522247,120.71603528554287,1.964595585591131,1.564407076545805,4.4944823962165,0.024785426519530522,,71.5,190.0,62.36842105263158,1036.3333333333333,real radar-associated position stream; q_k from radar SINR/confidence proxy with 10% quality-estimation noise,Full-sync reduction vs periodic (%),62.36842105263158,Communication-efficient radar DT sync: better RMSE than periodic with fewer full synchronizations
AERPAW AADM/Fortem radar,Opt2,30,25.984650525236123,40.33399630751061,46.18706188215014,12.672521992358119,1.8519645821804096,4.494189263973436,0.09317469101641758,,31.133333333333333,180.0,82.70370370370371,790.2666666666667,real radar-associated position stream; q_k from radar SINR/confidence proxy with 10% quality-estimation noise,Full-sync reduction vs periodic (%),82.70370370370371,Communication-efficient radar DT sync: better RMSE than periodic with fewer full synchronizations
AERPAW AADM/Fortem radar,Opt3,30,30.68454248048848,46.84188580510799,52.56862761465253,10.893839290467442,1.476830265848671,4.5,0.025316973415132876,,69.36666666666666,162.0,57.18106995884774,824.7333333333333,real radar-associated position stream; q_k from radar SINR/confidence proxy with 10% quality-estimation noise,Full-sync reduction vs periodic (%),57.18106995884774,Communication-efficient radar DT sync: better RMSE than periodic with fewer full synchronizations
