dataset,cases,n_seeds,mean_rmse_gain_vs_periodic_pct,mean_primary_benefit_pct,primary_benefit_metric
AERPAW AADM/Fortem radar,3,30,8.510318956138898,67.41773157172769,Full-sync reduction vs periodic (%)
DeepSense Scenario 23,3,30,-2.6435381685131674,86.28828241444569,AoI reduction vs event-triggered (%)
